location_id,outlet_code,location_name,region,kiosk_count,location_live_date,kiosk_id,kiosk_serial_number,kiosk_hardware_model,assigned_at,unassigned_at,is_currently_assigned
88e37a12-1ccd-45a9-a273-b999fc3f5ab1,U5,DoubleTree by Hilton Ealing SSM,United Kingdom,2,2023-11-14 00:00:00,cc494bfa-155c-4d78-96b2-24dc3fcb8e42,WKG-POS-052,,2026-04-18 12:43:35.805214+00,,TRUE
88e37a12-1ccd-45a9-a273-b999fc3f5ab1,U5,DoubleTree by Hilton Ealing SSM,United Kingdom,2,2023-11-14 00:00:00,35b8d9d6-93d4-43a0-add1-7a1f8c11c807,WKG-POS-21-25,KONG Self-Stadning,2026-04-18 12:44:23.523871+00,,TRUE
edb82d6d-2d75-4e2f-beb9-7ec61ed01eef,U9,Zedwell Piccadilly SSM,United Kingdom,2,2026-01-08 06:15:00,fc842068-fc0b-43ff-b50e-963821d1adc8,WKG-POS-120,,2026-04-20 12:23:27.532822+00,,TRUE
edb82d6d-2d75-4e2f-beb9-7ec61ed01eef,U9,Zedwell Piccadilly SSM,United Kingdom,2,2026-01-08 06:15:00,e8105ada-a7a5-4396-bfef-add7006b75a2,WKG-POS-551,,2026-04-20 12:24:16.339057+00,,TRUE
bbcd178d-386b-4fc5-b63b-106eef19c45e,W0,Holiday Express Munich City West,Germany,2,2024-03-28 00:00:00,df2cd1b1-ac01-4e58-80bd-25171f964bbe,WKG-POS-045,KONG Self-Stadning,2026-04-18 12:43:21.775156+00,,TRUE
bbcd178d-386b-4fc5-b63b-106eef19c45e,W0,Holiday Express Munich City West,Germany,2,2024-03-28 00:00:00,a4d45040-0326-4353-a8a6-516a5c6f0f77,WKG-POS-283,,2026-04-18 12:47:03.315743+00,,TRUE
2a5aea77-d859-4320-a8c8-22ff56f673f2,W2,NH Berlin Kurfürstendamm,Germany,2,2024-03-15 09:53:00,38e465f8-bac4-481f-a8b3-5281e267c179,WKG-POS-042,,2026-04-18 12:43:33.860258+00,,TRUE
2a5aea77-d859-4320-a8c8-22ff56f673f2,W2,NH Berlin Kurfürstendamm,Germany,2,2024-03-15 09:53:00,5bc41785-f9e5-4ced-8874-871be99a000c,WKG-POS-275,,2026-04-18 12:46:51.506862+00,,TRUE
6047a93a-f241-4e87-851b-53e4665e6ba2,W5,Mercure Hotel MOA Berlin,Germany,2,2024-03-20 09:21:00,467eaae4-a00a-4043-82e8-bd1708954217,WKG-POS-043,KONG Self-Stadning,2026-04-18 12:40:24.105712+00,,TRUE
6047a93a-f241-4e87-851b-53e4665e6ba2,W5,Mercure Hotel MOA Berlin,Germany,2,2024-03-20 09:21:00,cc00dccb-7361-4c5d-a2eb-c662eb0d57e5,WKG-POS-278,,2026-04-18 12:46:55.077328+00,,TRUE
30bee6ea-825e-4cc9-bdd8-8fbff3231a52,W6,Holiday Inn Express Berlin,Germany,2,2024-03-20 08:47:00,1e1cf630-ec2a-48be-8b45-3a752940dfa2,WKG-POS-037,KONG Self-Stadning,2026-04-18 12:43:23.547678+00,,TRUE
30bee6ea-825e-4cc9-bdd8-8fbff3231a52,W6,Holiday Inn Express Berlin,Germany,2,2024-03-20 08:47:00,7b9af83f-288f-4981-ac01-dba58deec1d2,WKG-POS-279,,2026-04-18 12:46:56.727454+00,,TRUE
2dc4fc60-fb3c-43ef-9296-8cbacae782ca,W7,Hotel Lux Eleven Berlin-Mitte,Germany,2,2024-04-02 00:00:00,c3f5c48d-25f6-44b5-a6e5-f8fc3fdef41d,WKG-POS-023,KONG Self-Stadning,2026-04-18 12:43:18.488608+00,,TRUE
2dc4fc60-fb3c-43ef-9296-8cbacae782ca,W7,Hotel Lux Eleven Berlin-Mitte,Germany,2,2024-04-02 00:00:00,6fbd5c11-8399-435b-b509-fbb168faa85c,WKG-POS-280,,2026-04-18 12:46:58.365272+00,,TRUE
2768bbd9-1232-4554-8e69-558ea5a02468,W8,Leonardo Royal hotel Berlin Alexanderplatz,Germany,2,2024-03-28 10:27:00,46b6e3a1-c887-4b9f-9a4e-fbafba8757a4,WKG-POS-046,KONG Self-Stadning,2026-04-18 12:43:16.75286+00,,TRUE
2768bbd9-1232-4554-8e69-558ea5a02468,W8,Leonardo Royal hotel Berlin Alexanderplatz,Germany,2,2024-03-28 10:27:00,b699d252-c07d-4683-90c3-2046704604c5,WKG-POS-281,,2026-04-18 12:46:59.98888+00,,TRUE
5163d0db-53d5-40cf-858f-18cb1d22b08e,W9,Leipzig Marriott Hotel,Germany,2,2025-08-20 00:00:00,8b056d97-e972-491e-9735-0d1131e5b834,WKG-POS-044,KONG Self-Stadning,2026-04-18 12:43:20.146533+00,,TRUE
5163d0db-53d5-40cf-858f-18cb1d22b08e,W9,Leipzig Marriott Hotel,Germany,2,2025-08-20 00:00:00,92a28d06-ff6e-47a8-80a7-f3eb83ac4efc,WKG-POS-282,,2026-04-18 12:47:01.636064+00,,TRUE
001e7d22-9ef6-47ca-8c51-3997bfd50237,X9,St Giles London,United Kingdom,2,2024-07-31 09:01:00,8550e9bc-99e1-4b43-8db6-d39cd7fa6816,WKG-POS-553,,2026-04-18 12:37:49.819935+00,,TRUE
001e7d22-9ef6-47ca-8c51-3997bfd50237,X9,St Giles London,United Kingdom,2,2024-07-31 09:01:00,f9dd42aa-4a3a-4551-bcb9-c71c59b6ca53,WKG-POS-097,,2026-04-18 12:42:50.33977+00,,TRUE
